canonical_ref,chapter,verse,speaker,devanagari,iast,english_telang,review_status,checksum
"gita.1.11","1","11","Sanjaya","अयनेषु च सर्वेषु यथाभागमवस्थिताः।
भीष्ममेवाभिरक्षन्तु भवन्तः सर्व एव हि ॥","ayaneṣu ca sarveṣu yathābhāgamavasthitāḥ
bhīṣmamevābhirakṣantu bhavantaḥ sarva eva hi","while this army of theirs which is protected by Bhīma is very limited. And therefore do ye all, occupying respectively the positions assigned to you, protect Bhīṣma only.'","machine-aligned; two human reviews pending","30ce300c473d3f45a5566994bd3108d70dc569c3b8471eee7d4f456b919134cd"
"gita.1.12","1","12","Sanjaya","तस्य सञ्जनयन्हर्षं कुरुवृद्धः पितामहः।
सिंहनादं विनद्योच्चैः शङ्खं दध्मौ प्रतापवान् ॥","tasya sañjanayanharṣaṃ kuruvṛddhaḥ pitāmahaḥ
siṃhanādaṃ vinadyoccaiḥ śaṅkhaṃ dadhmau pratāpavān","Then his powerful grandsire Bhīṣma the oldest of the Kauravas roaring aloud like a lion blew his conch, (thereby) affording delight to Duryodhana. And then all at once","machine-aligned; two human reviews pending","fc6c08b3da959b531879fb06647fee3b32f6b2ec9c6ecb43dd63a86a39090104"
"gita.1.13","1","13","Sanjaya","ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः।
सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत् ॥","tataḥ śaṅkhāśca bheryaśca paṇavānakagomukhāḥ
sahasaivābhyahanyanta sa śabdastumulo.abhavat","conchs and kettledrums and tabors","machine-aligned; two human reviews pending","32b59761501db37920e7556214a947b962456b56298111cb54085dd2791aecce"
"gita.1.14","1","14","Sanjaya","ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ।
माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः ॥","tataḥ śvetairhayairyukte mahati syandane sthitau
mādhavaḥ pāṇḍavaścaiva divyau śaṅkhau pradadhmatuḥ","and trumpets were played upon and there was a tumultuous din. Then, too, Mādhava and the son of Pāṇḍu (Arjuna), seated in a grand chariot to which white steeds were yoked, blew their heavenly conchs.","machine-aligned; two human reviews pending","77f747d60af1a4354f8eaf86db77fe8256faa0d5808deeb8aff89fdd28dabd6b"
"gita.1.15","1","15","Sanjaya","पाञ्चजन्यं हृषीकेशो देवदत्तं धनञ्जयः।
पौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदरः ॥","pāñcajanyaṃ hṛṣīkeśo devadattaṃ dhanañjayaḥ
pauṇḍraṃ dadhmau mahāśaṅkhaṃ bhīmakarmā vṛkodaraḥ","Hṛṣīkeśa blew the Pāñcajanya, and Dhanañjaya the Devadatta, and Bhīma, (the doer) of fearful deeds, blew the great conch Pauṇḍra . King Yudhiṣṭhira","machine-aligned; two human reviews pending","d4117ba187b38e9378c0976912590198d680f2af05039fb0c6219be15a9e4792"
"gita.1.16","1","16","Sanjaya","अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः।
नकुलः सहदेवश्च सुघोषमणिपुष्पकौ ॥","anantavijayaṃ rājā kuntīputro yudhiṣṭhiraḥ
nakulaḥ sahadevaśca sughoṣamaṇipuṣpakau","the son of Kuntī blew the Anantavijaya and Nakula and Sahadeva (respectively) the Sughoṣa and Maṇipuṣpaka. And the king of Kāśī too who has an excellent bow and Sikhaṇḍin the master of a great car and Dhṛṣṭadyumna","machine-aligned; two human reviews pending","131f7589dbceb3a0dd25657fe5fffff9c7ef7b256885078723d10431254c9044"
"gita.1.17","1","17","Sanjaya","काश्यश्च परमेष्वासः शिखण्डी च महारथः।
धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजितः ॥","kāśyaśca parameṣvāsaḥ śikhaṇḍī ca mahārathaḥ
dhṛṣṭadyumno virāṭaśca sātyakiścāparājitaḥ","Virāṭa","machine-aligned; two human reviews pending","65145db80e9a32ab70c41fe2a8c52886d9eb49caf3b299d76658ba7155bd2827"
"gita.1.18","1","18","Sanjaya","द्रुपदो द्रौपदेयाश्च सर्वशः पृथिवीपते।
सौभद्रश्च महाबाहुः शङ्खान्दध्मुः पृथक्पृथक् ॥","drupado draupadeyāśca sarvaśaḥ pṛthivīpate
saubhadraśca mahābāhuḥ śaṅkhāndadhmuḥ pṛthakpṛthak","and the unconquered Sātyaki and Drupada and the sons of Draupadī and the son of Subhadrā of mighty arms blew conchs severally from all sides","machine-aligned; two human reviews pending","3f8ccebdde35c81d0286a674fc7a83b7afdf56224d9ad00c4088e6a1014b0150"
"gita.1.19","1","19","Sanjaya","स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत्।
नभश्च पृथिवीं चैव तुमुलोऽभ्यनुनादयन् (or लोव्यनु) ॥","sa ghoṣo dhārtarāṣṭrāṇāṃ hṛdayāni vyadārayat
nabhaśca pṛthivīṃ caiva tumulo.abhyanunādayan (lo vyanu)","O king of the earth! That tumultuous din rent the hearts of all (the people) of Dhṛtarāṣṭra's (party)","machine-aligned; two human reviews pending","f46b58ef0ea055e06826639c5c6d47202af95b4b7aa49f22d6afb4a2042224d8"
"gita.1.20","1","20","Sanjaya","अथ व्यवस्थितान्दृष्ट्वा धार्तराष्ट्रान् कपिध्वजः।
प्रवृत्ते शस्त्रसम्पाते धनुरुद्यम्य पाण्डवः।
हृषीकेशं तदा वाक्यमिदमाह महीपते ॥","atha vyavasthitāndṛṣṭvā dhārtarāṣṭrān kapidhvajaḥ
pravṛtte śastrasampāte dhanurudyamya pāṇḍavaḥ","causing reverberations throughout heaven and earth. Then seeing (the people of ) Dhṛtarāṣṭra's party regularly marshalled the son of Pāṇḍu whose standard is the ape raised his bow after the discharge of missiles had commenced","machine-aligned; two human reviews pending","c6bf6bb25c6c65b924ca3f741b36e0d51fd12b151fa26615f65f7b9b77b85759"
"gita.1.21","1","21","Arjuna","अर्जुन उवाच।
सेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत ॥","hṛṣīkeśaṃ tadā vākyamidamāha mahīpate
arjuna uvāca
senayorubhayormadhye rathaṃ sthāpaya me.acyuta","and O king of the earth! spake these words to Hṛṣīkeśa: 'O undegraded one! station my chariot between the two armies while I observe those who stand here desirous to engage in battle and with whom in the labours of this struggle I must do battle. I will observe those who are assembled here and who are about to engage in battle, wishing to do service in battle to the evil-minded son of Dhṛtarāṣṭra.' Thus addressed by Guḍākeśa, O descendant of Bharata!","machine-aligned; two human reviews pending","1c275c55df7e9fc13937167acae4c9cb2047163252f800c4a4b007547aa159e8"
"gita.1.22","1","22","Arjuna","यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान्।
कैर्मया सह योद्धव्यमस्मिन् रणसमुद्यमे ॥","yāvadetānnirikṣe.ahaṃ yoddhukāmānavasthitān
kairmayā saha yoddhavyamasmin raṇasamudyame","Hṛṣīkeśa stationed that excellent chariot between the two armies in front of Bhīṣma and Droṇa and of all the kings of the earth","machine-aligned; two human reviews pending","3a5b8b66a6abed3ce7fd207aa5be451a84aa7b4f412eb9c415cd6d37d2748e03"
"gita.1.23","1","23","Arjuna","योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागताः।
धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीर्षवः ॥","yotsyamānānavekṣe.ahaṃ ya ete.atra samāgatāḥ
dhārtarāṣṭrasya durbuddheryuddhe priyacikīrṣavaḥ","and said O son of Pṛthā! look at these assembled Kauravas.'","machine-aligned; two human reviews pending","3bbd19286213f7afac007a85dec4750b868feec8f9b7a6be59d270298f744fb7"
"gita.1.24","1","24","Sanjaya","सञ्जय उवाच।
एवमुक्तो हृषीकेशो गुडाकेशेन भारत।
सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम् ॥","sañjaya uvāca
evamukto hṛṣīkeśo guḍākeśena bhārata
senayorubhayormadhye sthāpayitvā rathottamam","There the son of Pṛthā saw in both armies fathers and grandfathers preceptors maternal uncles brothers","machine-aligned; two human reviews pending","7d52e0054f19b198dd4e4015541831a19b9b4ec37568a3307ed74e16a6a4adbe"
"gita.1.25","1","25","Sanjaya","भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम्।
उवाच पार्थ पश्यैतान्समवेतान्कुरूनिति ॥","bhīṣmadroṇapramukhataḥ sarveṣāṃ ca mahīkṣitām
uvāca pārtha paśyaitānsamavetānkurūniti","sons","machine-aligned; two human reviews pending","aa2a754a620b52b6630101f07817bc06ca59a35c429ce9f2a9ad745df7f68757"
"gita.1.26","1","26","Sanjaya","तत्रापश्यत्स्थितान्पार्थः पितॄनथ पितामहान्।
आचार्यान्मातुलान्भ्रातॄन्पुत्रान्पौत्रान्सखींस्तथा ॥","tatrāpaśyatsthitānpārthaḥ pitṝnatha pitāmahān
ācāryānmātulānbhrātṛnputrānpautrānsakhīṃstathā","grandsons","machine-aligned; two human reviews pending","00cff8ebe13f179bd533c5f12459c59a5fba6b2a11367537ece10f30215532c0"
"gita.1.27","1","27","Sanjaya","श्वशुरान्सुहृदश्चैव सेनयोरुभयोरपि।
तान्समीक्ष्य स कौन्तेयः सर्वान्बन्धूनवस्थितान् ॥","śvaśurānsuhṛdaścaiva senayorubhayorapi
tānsamīkṣya sa kaunteyaḥ sarvānbandhūnavasthitān","companions fathers-in-law as well as friends. And seeing all those kinsmen standing (there) the son of Kuntī was overcome by excessive pity","machine-aligned; two human reviews pending","43c5b1859dba2e143e7403206980d774e9325ed20439a4825e75e90ebdc3cfe2"
"gita.1.28","1","28","Arjuna","कृपया परयाविष्टो विषीदन्निदमब्रवीत्।
अर्जुन उवाच।
दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम् ॥","kṛpayā parayāviṣṭo viṣīdannidamabravīt
arjuna uvāca
dṛṣṭvemaṃ svajanaṃ kṛṣṇa yuyutsuṃ samupasthitam","and spake thus despondingly. Seeing these kinsmen, O Kṛṣṇa ! standing (here) desirous to engage in battle, my limbs droop down my mouth is quite dried up a tremor comes on my body","machine-aligned; two human reviews pending","631e9cd06fe0afbd10cc7d2684ed98b855c382922c4a03bf9868365d5329acca"
"gita.1.29","1","29","Arjuna","सीदन्ति मम गात्राणि मुखं च परिशुष्यति।
वेपथुश्च शरीरे मे रोमहर्षश्च जायते ॥","sīdanti mama gātrāṇi mukhaṃ ca pariśuṣyati
vepathuśca śarīre me romaharṣaśca jāyate","and my hairs stand on end","machine-aligned; two human reviews pending","168c8ed1e1f915e2f28d1620cf3ce806678826667161bb63f05fb91e352f9716"
"gita.1.30","1","30","Arjuna","गाण्डीवं स्रंसते हस्तात्त्वक्चैव परिदह्यते।
न च शक्नोम्यवस्थातुं भ्रमतीव च मे मनः ॥","gāṇḍīvaṃ sraṃsate hastāttvakcaiva paridahyate
na ca śaknomyavasthātuṃ bhramatīva ca me manaḥ","the Gāṇḍīva (bow) slips from my hand my skin burns intensely. I am unable, too, to stand up my mind whirls round, as it were","machine-aligned; two human reviews pending","1f86927e460f46936ba4b220384b809bf192c6d369617bd29bd23d341cc6e1cc"
"gita.1.31","1","31","Arjuna","निमित्तानि च पश्यामि विपरीतानि केशव।
न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे ॥","nimittāni ca paśyāmi viparītāni keśava
na ca śreyo.anupaśyāmi hatvā svajanamāhave","O Keśava! I see adverse omens and I do not perceive any good (to accrue) after killing (my) kinsmen in the battle.","machine-aligned; two human reviews pending","104ede7b814ebd2f28622fbd3ad43c2a78d4a981693a20f9045fd0d41e8158d7"
"gita.1.32","1","32","Arjuna","न काङ्क्षे विजयं कृष्ण न च राज्यं सुखानि च।
किं नो राज्येन गोविन्द किं भोगैर्जीवितेन वा ॥","na kāṅkṣe vijayaṃ kṛṣṇa na ca rājyaṃ sukhāni ca
kiṃ no rājyena govinda kiṃ bhogairjīvitena vā","I do not wish for victory, O Kṛṣṇa! nor sovereignty, nor pleasures: what is sovereignty to us, O Govinda ! what enjoyments, and even life? Even those","machine-aligned; two human reviews pending","963d7d9b9a929022832b57f943891ccc8b8c3059840457ba372c82d904884c74"
"gita.1.33","1","33","Arjuna","येषामर्थे काङ्क्षितं नो राज्यं भोगाः सुखानि च।
त इमेऽवस्थिता युद्धे प्राणांस्त्यक्त्वा धनानि च ॥","yeṣāmarthe kāṅkṣitaṃ no rājyaṃ bhogāḥ sukhāni ca
ta ime.avasthitā yuddhe prāṇāṃstyaktvā dhanāni ca","for whose sake we desire sovereignty enjoyments and pleasures are standing here for battle abandoning life and wealth-preceptors fathers","machine-aligned; two human reviews pending","d1f1759b6036d69e5c4495f6718ce86d9eec31bda97fca9baa06f32ced8cf26f"
"gita.1.34","1","34","Arjuna","आचार्याः पितरः पुत्रास्तथैव च पितामहाः।
मातुलाः श्वशुराः पौत्राः श्यालाः सम्बन्धिनस्तथा ॥","ācāryāḥ pitaraḥ putrāstathaiva ca pitāmahāḥ
mātulāḥ śvaśurāḥ pautrāḥ śyālāḥ sambandhinastathā","sons as well as grandfathers maternal uncles fathers-in-law grandsons brothers-in-law as also (other) relatives.","machine-aligned; two human reviews pending","ca3651111a153b7e632aefb63fe32513a59693981663924bf2eb1be16b492435"
"gita.1.35","1","35","Arjuna","एतान्न हन्तुमिच्छामि घ्नतोऽपि मधुसूदन।
अपि त्रैलोक्यराज्यस्य हेतोः किं नु महीकृते ॥","etānna hantumicchāmi ghnato.api madhusūdana
api trailokyarājyasya hetoḥ kiṃ nu mahīkṛte","These I do not wish to kill though they kill (me) O destroyer of Madhu! even for the sake of sovereignty over the three worlds how much less then for this earth (alone)?","machine-aligned; two human reviews pending","03a75729b1869176dc106d33a2acb82f4393c9cf333062dc6fbb43904c58a2f8"
"gita.1.36","1","36","Arjuna","निहत्य धार्तराष्ट्रान्नः का प्रीतिः स्याज्जनार्दन।
पापमेवाश्रयेदस्मान्हत्वैतानाततायिनः ॥","nihatya dhārtarāṣṭrānnaḥ kā prītiḥ syājjanārdana
pāpamevāśrayedasmānhatvaitānātatāyinaḥ","What joy shall be ours, O Janārdana ! after killing Dhṛtarāṣṭra's sons? Killing these felons we shall only incur sin.","machine-aligned; two human reviews pending","16b0afe20a039ca0b95c181c3a16f07391b52f5ed8ddd258ff888eddd321bee6"
"gita.1.37","1","37","Arjuna","तस्मान्नार्हा वयं हन्तुं धार्तराष्ट्रान्स्वबान्धवान्।
स्वजनं हि कथं हत्वा सुखिनः स्याम माधव ॥","tasmānnārhā vayaṃ hantuṃ dhārtarāṣṭrānsvabāndhavān
svajanaṃ hi kathaṃ hatvā sukhinaḥ syāma mādhava","Therefore it is not proper for us to kill our own kinsmen the sons of Dhṛtarāṣṭra. For how O Mādhava! shall we be happy after killing our own relatives?","machine-aligned; two human reviews pending","8970fc531ca2dcf4cc08b08f8f4b64f018b9b81047cd66e96bbf71ec1229eedc"
"gita.1.38","1","38","Arjuna","यद्यप्येते न पश्यन्ति लोभोपहतचेतसः।
कुलक्षयकृतं दोषं मित्रद्रोहे च पातकम् ॥","yadyapyete na paśyanti lobhopahatacetasaḥ
kulakṣayakṛtaṃ doṣaṃ mitradrohe ca pātakam","Although having their consciences corrupted by avarice they do not see the evils flowing from the extinction of a family and the sin in treachery to friends still","machine-aligned; two human reviews pending","097efc683c1e8feb733f06f3477d782fafc3e9cf4786d0618f29d84111418a1d"
"gita.1.39","1","39","Arjuna","कथं न ज्ञेयमस्माभिः पापादस्मान्निवर्तितुम्।
कुलक्षयकृतं दोषं प्रपश्यद्भिर्जनार्दन ॥","kathaṃ na jñeyamasmābhiḥ pāpādasmānnivartitum
kulakṣayakṛtaṃ doṣaṃ prapaśyadbhirjanārdana","O Ganārdana! should not we","machine-aligned; two human reviews pending","14298a6ae6e49ed7a3e0b1738eee86711ccd0105802fa3151b920a3d0f642032"
"gita.1.40","1","40","Arjuna","कुलक्षये प्रणश्यन्ति कुलधर्माः सनातनाः।
धर्मे नष्टे कुलं कृत्स्नमधर्मोऽभिभवत्युत ॥","kulakṣaye praṇaśyanti kuladharmāḥ sanātanāḥ
dharme naṣṭe kulaṃ kṛtsnamadharmo.abhibhavatyuta","who do see the evils flowing from the extinction of a family learn to refrain from that sin? On the extinction of a family","machine-aligned; two human reviews pending","e3b8c7531a69ba905a918b3690bc172353f9bd0db35aabb4bf69685b97efcf00"
"gita.1.41","1","41","Arjuna","अधर्माभिभवात्कृष्ण प्रदुष्यन्ति कुलस्त्रियः।
स्त्रीषु दुष्टासु वार्ष्णेय जायते वर्णसङ्करः ॥","adharmābhibhavātkṛṣṇa praduṣyanti kulastriyaḥ
strīṣu duṣṭāsu vārṣṇeya jāyate varṇasaṅkaraḥ","the eternal rites of families are destroyed. Those rites being destroyed, impiety predominates over the whole family. In consequence of the predominance of impiety, O Kṛṣṇa! the women of the family become corrupt and the women becoming corrupt, O descendant of Vṛṣṇi! intermingling of castes results","machine-aligned; two human reviews pending","09487c4900e732b508665f935c37604b5be6978bf6971de69d5a1fa12271b711"
"gita.1.42","1","42","Arjuna","सङ्करो नरकायैव कुलघ्नानां कुलस्य च।
पतन्ति पितरो ह्येषां लुप्तपिण्डोदकक्रियाः ॥","saṅkaro narakāyaiva kulaghnānāṃ kulasya ca
patanti pitaro hyeṣāṃ luptapiṇḍodakakriyāḥ","that intermingling necessarily leads the family and the destroyers of the family to hell for when the ceremonies of (offering) the balls of food and water (to them) fail, their ancestors fall down (to hell). By these transgressions of the destroyers of families which occasion interminglings of castes","machine-aligned; two human reviews pending","09a669263e0b114b27dc6c7fc4391586aff04dcdeb3319cd9a4a4ce4d41df2c8"
"gita.1.43","1","43","Arjuna","दोषैरेतैः कुलघ्नानां वर्णसङ्करकारकैः।
उत्साद्यन्ते जातिधर्माः कुलधर्माश्च शाश्वताः ॥","doṣairetaiḥ kulaghnānāṃ varṇasaṅkarakārakaiḥ
utsādyante jātidharmāḥ kuladharmāśca śāśvatāḥ","the eternal rites of castes and rites","machine-aligned; two human reviews pending","87c48aedc72f048ed7e823d35c89836c58c0ebdf2910d791176adba0bd7d5244"
"gita.1.44","1","44","Arjuna","उत्सन्नकुलधर्माणां मनुष्याणां जनार्दन।
नरके नियतं वासो भवतीत्यनुशुश्रुम (or नरकेऽनियतं) ॥","utsannakuladharmāṇāṃ manuṣyāṇāṃ janārdana
narake niyataṃ vāso bhavatītyanuśuśruma","of families are subverted. And O Janārdana! we have heard that men whose family-rites are subverted","machine-aligned; two human reviews pending","5943fd214c694285822cbb5ab6e27f7d88fabe53098712c6658ab17df3cb236b"
"gita.1.45","1","45","Arjuna","अहो बत महत्पापं कर्तुं व्यवसिता वयम्।
यद्राज्यसुखलोभेन हन्तुं स्वजनमुद्यताः ॥","aho bata mahatpāpaṃ kartuṃ vyavasitā vayam
yadrājyasukhalobhena hantuṃ svajanamudyatāḥ","must necessarily live in hell. Alas! we are engaged in committing a heinous sin, seeing that we are making efforts for killing our own kinsmen out of greed of the pleasures of sovereignty.","machine-aligned; two human reviews pending","f301d7168e5157efaf1fffe7eb269d973ca13ad328edf8de36361edd67382ee1"
"gita.1.46","1","46","Arjuna","यदि मामप्रतीकारमशस्त्रं शस्त्रपाणयः।
धार्तराष्ट्रा रणे हन्युस्तन्मे क्षेमतरं भवेत् ॥","yadi māmapratīkāramaśastraṃ śastrapāṇayaḥ
dhārtarāṣṭrā raṇe hanyustanme kṣemataraṃ bhavet","If the sons of Dhṛtarāṣṭra, weapon in hand, should kill me in battle, me weaponless and not defending (myself), that would be better for me.","machine-aligned; two human reviews pending","e5b186a3cf91283969da69593e6695a852a9ff133775487d26c2cc3b7eb3b22c"
"gita.1.47","1","47","Sanjaya","सञ्जय उवाच।
एवमुक्त्वार्जुनः सङ्ख्ये रथोपस्थ उपाविशत्।
विसृज्य सशरं चापं शोकसंविग्नमानसः ॥","sañjaya uvāca
evamuktvārjunaḥ saṅkhye rathopastha upāviśat
visṛjya saśaraṃ cāpaṃ śokasaṃvignamānasaḥ","Having spoken thus, Arjuna cast aside his bow together with the arrows, on the battle-field, and sat down in (his) chariot, with a mind agitated by grief.","machine-aligned; two human reviews pending","ccec99b95cf2c03575db436cb346b1cdafd28a6ce7921090214dc41faf0f5993"
"gita.2.1","2","1","Sanjaya","सञ्जय उवाच।
तं तथा कृपयाविष्टमश्रुपूर्णाकुलेक्षणम्।
विषीदन्तमिदं वाक्यमुवाच मधुसूदनः ॥","sañjaya uvāca
taṃ tathā kṛpayāviṣṭamaśrupūrṇākulekṣaṇam
viṣīdantamidaṃ vākyamuvāca madhusūdanaḥ","To him, who was thus overcome with pity, and dejected, and whose eyes were full of tears and turbid, the destroyer of Madhu spoke these words. How (comes it that) this delusion O Arjuna ! which is discarded by the good","machine-aligned; two human reviews pending","740c1b88b92982b1a2545d8d5501366e06a0b988a9ee3eac0400427e9bc3c119"
"gita.2.2","2","2","Krishna","श्रीभगवानुवाच।
कुतस्त्वा कश्मलमिदं विषमे समुपस्थितम्।
अनार्यजुष्टमस्वर्ग्यमकीर्तिकरमर्जुन ॥","śrībhagavānuvāca
kutastvā kaśmalamidaṃ viṣame samupasthitam
anāryajuṣṭamasvargyamakīrtikaramarjuna","which excludes from heaven","machine-aligned; two human reviews pending","29fe7b3fae6f6a2a1e5994ff5095c0a375312a18e45c8983200a02ea1d73dca5"
"gita.2.3","2","3","Krishna","क्लैब्यं मा स्म गमः पार्थ नैतत्त्वय्युपपद्यते।
क्षुद्रं हृदयदौर्बल्यं त्यक्त्वोत्तिष्ठ परन्तप ॥","klaibyaṃ mā sma gamaḥ pārtha naitattvayyupapadyate
kṣudraṃ hṛdayadaurbalyaṃ tyaktvottiṣṭha parantapa","and occasions infamy has overtaken you in this (place of) peril? Be not effeminate, O son of Pṛthā! it is not worthy of you. Cast off this base weakness of heart, and arise, O terror of (your) foes!","machine-aligned; two human reviews pending","88e2bb3e78b342044347ee29f2cd535ce79c1c1ebc95eb17c0215585494d9b53"
